,latitude,longitude,traffic_data
830,32.72806026,-97.10884999,2
840,32.72802412,-97.10885026,2
850,32.72798872,-97.10885198,2
860,32.72795522,-97.10885268,2
870,32.72792206,-97.1088532,2
880,32.72788924,-97.10885511,2
890,32.72785663,-97.10885431,2
900,32.72782413,-97.10885412,2
910,32.727794,-97.10885501,2
920,32.72776652,-97.10885438,2
930,32.72773938,-97.10885448,2
940,32.72771238,-97.1088524,2
950,32.72768412,-97.10885497,2
960,32.72765302,-97.10886057,2
970,32.72762721,-97.10888047,2
980,32.727606,-97.10890683,2
990,32.72758748,-97.10893838,2
1000,32.7275718,-97.10897167,2
1010,32.72755774,-97.10900735,2
1020,32.72754206,-97.10904487,2
1030,32.72752635,-97.10908286,2
1040,32.72750756,-97.10912028,2
1050,32.72748844,-97.10915907,2
750,32.72754032,-97.10877716,3
1060,32.72747207,-97.10919957,3
1070,32.72745516,-97.10924233,3
1080,32.72743409,-97.10928493,3
1090,32.7274149,-97.10932982,3
1100,32.72739773,-97.10937588,3
1110,32.72738109,-97.10942172,3
1120,32.72736561,-97.10946669,3
1130,32.72735235,-97.10951197,3
1140,32.72734069,-97.10955495,3
1150,32.72732862,-97.10959766,3
1160,32.72731812,-97.10964233,3
1170,32.7273069,-97.1096877,3
1180,32.72729293,-97.10973742,3
1190,32.72727745,-97.10979567,3
1200,32.72726631,-97.1098532,3
1210,32.72725434,-97.10991232,2
1220,32.72724279,-97.10997374,2
1230,32.7272341,-97.11003119,2
1240,32.72722478,-97.11008987,2
1250,32.72721861,-97.11014585,2
1260,32.72721021,-97.11020046,2
1270,32.72720756,-97.11025354,2
1280,32.72719858,-97.11030656,2
1290,32.72719154,-97.11035545,2
1300,32.7271843,-97.11040549,2
1310,32.72717624,-97.11045438,2
1320,32.72716813,-97.11050273,2
1330,32.72715736,-97.11054979,2
1340,32.72714924,-97.11059737,2
1350,32.72714264,-97.11064325,2
1360,32.72713681,-97.11068755,2
1370,32.72713057,-97.11073083,2
1380,32.72712531,-97.11077354,2
1390,32.72712005,-97.11081316,2
1400,32.72711413,-97.1108502,2
1410,32.72710805,-97.11088238,2
1420,32.72710495,-97.11091053,2
1430,32.7271007,-97.11093333,2
1440,32.72709911,-97.1109523,2
1450,32.72709866,-97.11096624,2
1460,32.7270987,-97.11097718,2
1470,32.72709968,-97.11099448,2
1480,32.72711201,-97.11101626,2
1490,32.72713065,-97.11103433,2
1500,32.72715321,-97.11103626,3
1510,32.72717437,-97.11104055,3
1520,32.72719799,-97.11104306,3
1530,32.72722494,-97.11104248,3
1540,32.72725537,-97.11104333,3
1550,32.72728902,-97.11104515,3
1560,32.72732451,-97.11104456,3
1570,32.72736134,-97.11104515,3
1580,32.72739694,-97.11104513,3
1590,32.72743006,-97.11104727,3
1600,32.7274631,-97.11104693,3
1610,32.72749539,-97.11104575,3
1620,32.72752828,-97.11104501,3
1630,32.7275605,-97.11104465,3
1640,32.72759364,-97.1110429,3
1650,32.72762831,-97.11104211,2
1660,32.72766242,-97.11104127,2
1670,32.72769704,-97.11103905,2
1680,32.72773258,-97.11103985,2
1690,32.72777057,-97.11103965,2
1700,32.72780812,-97.11104003,2
1710,32.72784389,-97.11104052,2
1720,32.72788068,-97.11104005,2
1730,32.72791518,-97.11104009,2
1740,32.72794575,-97.11103864,2
1750,32.72797622,-97.11103861,2
1760,32.72800588,-97.11103751,2
1770,32.72803271,-97.11103762,2
1780,32.72806042,-97.1110377,2
1790,32.72809073,-97.1110392,2
1800,32.72811987,-97.11103915,2
1952,32.72755405,-97.10880687,1
1952,32.72701699,-97.11107204,1
1810,32.72818248,-97.11103663,1
1830,32.72821076,-97.11103493,1
1840,32.72823714,-97.11103163,1
1850,32.72826255,-97.11103101,1
1860,32.72828736,-97.11103227,1
1870,32.72831202,-97.1110341,1
1880,32.72833885,-97.11103392,1
1890,32.72836467,-97.11103314,1
1900,32.72839295,-97.11103332,1
1910,32.72842353,-97.11103054,1
1920,32.72845873,-97.11103204,1
1930,32.72849315,-97.1110317,1
1940,32.72852501,-97.11103132,1
1950,32.72855269,-97.11102994,1
1960,32.72858028,-97.11102936,2
1970,32.7286102,-97.11103008,2
1980,32.72863795,-97.11102802,2
1990,32.72866811,-97.1110245,2
2000,32.7287001,-97.11102354,2
2010,32.72872882,-97.1110229,2
2020,32.72875633,-97.11101957,2
2030,32.7287847,-97.11101417,2
2040,32.7288139,-97.11101105,2
2050,32.72884421,-97.1110102,2
2060,32.72887339,-97.11101245,2
2070,32.72890176,-97.11101099,2
2080,32.72892803,-97.11100896,2
2090,32.72895459,-97.11101225,2
2100,32.72898255,-97.11101362,2
2110,32.72900988,-97.11101458,3
2120,32.72903486,-97.11101166,3
2130,32.7290604,-97.11101245,3
2140,32.72908518,-97.1110127,3
2150,32.72910635,-97.11100958,3
2160,32.72911962,-97.11100897,3
2170,32.72913361,-97.11100767,3
2180,32.72915433,-97.11100262,3
2190,32.72917049,-97.11098551,3
2200,32.72917869,-97.11096894,3
2210,32.72918168,-97.11095539,3
2220,32.7291819,-97.11094633,3
2230,32.72918353,-97.11092991,3
2240,32.7291821,-97.11090124,3
1952,32.72917472,-97.11100595,1
2250,32.72917866,-97.11086461,1
2260,32.72917802,-97.11082072,1
2270,32.72917894,-97.11077931,1
2280,32.7291793,-97.11073986,1
2290,32.72918046,-97.1107005,1
2300,32.72918089,-97.11066092,1
2310,32.72918219,-97.11062397,1
2320,32.72918247,-97.11058891,1
2330,32.72918087,-97.11055535,1
2340,32.72917948,-97.11052111,1
2350,32.72917735,-97.11048808,1
2360,32.72917794,-97.11045482,1
2370,32.72917761,-97.11042284,1
2380,32.72917849,-97.11038926,1
2390,32.7291823,-97.11035454,1
2400,32.7291837,-97.1103224,2
2410,32.72918246,-97.11028983,2
2420,32.72917937,-97.11025722,2
2430,32.72917697,-97.11022508,2
2440,32.72917626,-97.11019268,2
2450,32.72917682,-97.11015745,2
2460,32.72917379,-97.11012356,2
2470,32.7291722,-97.1100926,2
2480,32.72916802,-97.11006269,2
2490,32.72916717,-97.11003273,2
2500,32.72916556,-97.11000517,2
2510,32.72916364,-97.1099836,2
2520,32.72916294,-97.10997126,2
2530,32.72916203,-97.10997209,2
2540,32.72916073,-97.10997668,2
2550,32.72916068,-97.10997884,1
2560,32.72916163,-97.10998094,1
2570,32.72915971,-97.10996868,1
2580,32.72915823,-97.10995097,1
2590,32.72915525,-97.1099247,1
2600,32.7291548,-97.10989278,1
2610,32.72915555,-97.10986215,1
2620,32.72915601,-97.10983044,1
2630,32.72915557,-97.10979856,1
2640,32.72915315,-97.10976737,1
2650,32.72915272,-97.10973529,1
2660,32.7291501,-97.10970231,1
2670,32.72914995,-97.10967017,1
2680,32.72914887,-97.10963765,1
2690,32.7291452,-97.10960631,1
2700,32.72914527,-97.10957627,1
2710,32.7291444,-97.10954325,1
2720,32.72914523,-97.10951264,1
2730,32.72914313,-97.10948615,1
,,,
,,,
289,32.73323516,-0.51520723,1
290,32.73319935,-97.11331948,1
309,32.7331951,-97.11331658,1
310,32.73319471,-97.11330932,1
320,32.73319928,-97.113307,1
330,32.73321791,-97.11330632,1
340,32.73323863,-97.11329786,1
350,32.73325772,-97.11329444,1
360,32.73328786,-97.11329309,1
370,32.73332221,-97.11328641,1
389,32.73336108,-97.11327969,1
399,32.73340211,-97.11327555,1
400,32.73343412,-97.11326906,1
410,32.7334591,-97.11326133,1
429,32.73348541,-97.11325226,1
430,32.73350965,-97.11324501,1
449,32.73353758,-97.11323963,1
450,32.73356656,-97.11324106,1
460,32.73358917,-97.11324729,1
780,32.73365506,-97.11191886,1
790,32.73365531,-97.11187034,1
800,32.73365568,-97.11182244,1
810,32.7336574,-97.11177578,1
820,32.73365945,-97.11172863,1
830,32.73366104,-97.11168178,1
849,32.73366182,-97.11163546,1
859,32.73366279,-97.11159006,1
860,32.73366442,-97.11154497,1
879,32.73366517,-97.11150058,1
889,32.73366511,-97.11145785,1
890,32.73366489,-97.11141401,1
900,32.73366524,-97.11137163,1
910,32.73366436,-97.11132867,1
920,32.73366323,-97.11128965,1
1370,32.73370571,-97.10939356,1
1380,32.73370986,-97.10935397,1
1390,32.73371079,-97.10931584,1
1400,32.73371333,-97.10928006,1
1410,32.73371351,-97.10924179,1
1420,32.73371408,-97.109201,1
1430,32.73371451,-97.1091605,1
1440,32.73371464,-97.10912035,1
1450,32.73371672,-97.10907927,1
1460,32.73371715,-97.10903829,1
1470,32.7337198,-97.1089973,1
1480,32.73372241,-97.10895699,1
1490,32.73372386,-97.1089167,1
1500,32.73372192,-97.1088775,1
1510,32.73372087,-97.10884261,1
1820,32.73294097,-97.10875674,1
1830,32.7329089,-97.10875745,1
1840,32.73287673,-97.10875677,1
1850,32.73284463,-97.10875981,1
1860,32.73281171,-97.10876033,1
1870,32.73277747,-97.1087611,1
1880,32.73274289,-97.10876377,1
1890,32.73270727,-97.10876412,1
1900,32.73267209,-97.10876435,1
1910,32.73263836,-97.10876411,1
1920,32.73260628,-97.10876278,1
1930,32.73257292,-97.10876381,1
1940,32.73254052,-97.10876414,1
1950,32.73250683,-97.10876496,1
1960,32.73247252,-97.10876472,1
2270,32.73157547,-97.10878216,1
2280,32.73154168,-97.10878326,1
2290,32.73150862,-97.10878246,1
2300,32.73147585,-97.10878038,1
2310,32.73144153,-97.10877848,1
2320,32.73140777,-97.10877959,1
2330,32.73137509,-97.10877801,1
2340,32.73134522,-97.10878076,1
2350,32.73131865,-97.10878263,1
2360,32.73129209,-97.10878304,1
2370,32.73126524,-97.10878259,1
2380,32.7312401,-97.10878165,1
2390,32.73121652,-97.10877979,1
2400,32.7311935,-97.1087781,1
2410,32.73117495,-97.10877852,1
,,,
,,,
0,32.7330073,-97.10733506,1
40,32.73300659,-97.10734438,1
60,32.73300642,-97.10734967,1
70,32.7330064,-97.10735825,1
90,32.73299226,-97.10740878,1
100,32.73300456,-97.10744208,1
120,32.73303831,-97.10752572,1
130,32.73301485,-97.10758002,1
140,32.7329948,-97.10764007,1
150,32.73299305,-97.10768,2
170,32.73300794,-97.10776349,2
190,32.73303272,-97.10779949,2
200,32.73305572,-97.10782571,2
210,32.73308582,-97.10783203,2
220,32.73315544,-97.10784158,2
240,32.73324036,-97.10786277,2
260,32.73327867,-97.10786828,2
270,32.73336221,-97.10788215,2
280,32.73340272,-97.10788982,2
300,32.73344699,-97.10789182,3
320,32.73345586,-97.10785176,3
340,32.73345479,-97.10782985,3
350,32.73345114,-97.10781174,3
360,32.73344317,-97.10777551,3
370,32.73344794,-97.10777017,3
390,32.73346098,-97.1077561,3
400,32.73347671,-97.10772047,3
410,32.7335307,-97.10766864,3
420,32.73356228,-97.10765121,3
430,32.73359457,-97.10762986,3
450,32.73363939,-97.10757572,1
470,32.7336531,-97.10754572,1
480,32.733664,-97.107478,1
490,32.73366434,-97.10744475,1
510,32.73366615,-97.10738066,1
530,32.7336656,-97.10735036,1
540,32.73366922,-97.10731069,1
560,32.73367334,-97.10729662,1
570,32.73367824,-97.10729327,1
590,32.73368231,-97.1072903,1
610,32.733681,-97.10728739,2
620,32.73368099,-97.10728504,2
630,32.73368096,-97.10728327,2
640,32.73368286,-97.10728274,2
650,32.73368398,-97.10728229,2
660,32.73368494,-97.10728197,2
670,32.73368798,-97.10728234,2
680,32.73368835,-97.10728363,2
690,32.73367992,-97.10728899,2
710,32.73366616,-97.1072881,2
730,32.73365914,-97.10728736,2
740,32.73364485,-97.10728191,2
750,32.73363896,-97.10727814,3
770,32.73363648,-97.10727022,3
780,32.73363358,-97.10727047,3
790,32.73363225,-97.10728012,3
800,32.73363376,-97.10728273,3
820,32.73364137,-97.10728482,3
830,32.73364399,-97.10729039,3
850,32.73364244,-97.1073003,3
860,32.73364201,-97.10731464,3
870,32.73364349,-97.10731799,3
880,32.73364782,-97.10732249,3
890,32.73365275,-97.10732719,3
900,32.73365659,-97.10733213,1
910,32.73365728,-97.10733807,1
930,32.73365904,-97.10734608,1
940,32.73366181,-97.10734649,1
960,32.73366501,-97.10734696,1
970,32.73366733,-97.10734947,1
980,32.73366529,-97.10735089,1
990,32.73366165,-97.10734901,1
1000,32.73365573,-97.10735105,1
1010,32.73364786,-97.10735155,1
1020,32.73364192,-97.10735679,1
1030,32.73363931,-97.10736084,1
1040,32.73363964,-97.1073652,1
1060,32.73365198,-97.1073741,2
1080,32.73365965,-97.10736921,2
1100,32.73365507,-97.10735425,2
1110,32.73364687,-97.10734658,2
1120,32.73364045,-97.10733905,2
1130,32.73363842,-97.10733484,2
1140,32.73364497,-97.10732631,2
1160,32.73365145,-97.10731828,2
1170,32.73365812,-97.10730985,2
1190,32.7336634,-97.10731256,2
1200,32.73366446,-97.1073131,3
1210,32.7336645,-97.10731313,3
1220,32.73366468,-97.10731314,3
1240,32.73366488,-97.10731307,3
1250,32.73366497,-97.10731305,3
1270,32.7336652,-97.10731311,3
1280,32.73366533,-97.10731316,3
1300,32.7336656,-97.10731351,3
1310,32.73366578,-97.10731366,3
1330,32.73366626,-97.10731389,3
1340,32.73366653,-97.10731403,3
1350,32.73366679,-97.10731415,1
1370,32.73366697,-97.10731417,1
1380,32.73366725,-97.10731408,1
1390,32.73366747,-97.10731405,1
1400,32.73366764,-97.107314,1
1410,32.73366777,-97.10731384,1
1430,32.73366788,-97.10731365,1
1440,32.7336682,-97.10730213,1
1450,32.73367046,-97.10726232,1
1460,32.73367213,-97.10723397,1
1470,32.73367533,-97.10720325,1
1480,32.73367872,-97.10717081,1
1490,32.73368331,-97.10713572,1
1500,32.73368581,-97.10709973,2
1510,32.73368722,-97.10706349,2
1530,32.73368929,-97.10702672,2
1540,32.73369296,-97.10695134,2
1550,32.7336949,-97.10691259,2
1560,32.73369664,-97.10687394,2
1580,32.73369878,-97.10680018,2
1590,32.7336993,-97.10676387,2
1600,32.73370021,-97.10672895,2
1610,32.73370251,-97.10669444,2
1620,32.73370186,-97.10666041,2
1640,32.7336993,-97.10659052,2
1650,32.73370035,-97.10655453,3
1670,32.73370285,-97.10648146,3
1680,32.73370418,-97.10644379,3
1690,32.73370324,-97.10640774,3
1700,32.73370233,-97.10637132,3
1710,32.73370117,-97.10633516,3
1720,32.73369717,-97.10629993,3
1730,32.73369682,-97.10626274,3
1750,32.73368902,-97.10618976,3
1760,32.73368742,-97.10615222,3
1770,32.73368587,-97.10611469,3
1790,32.7336794,-97.10603838,3
1810,32.73367689,-97.10599743,2
1820,32.73367594,-97.10595572,2
1830,32.73367561,-97.10587063,2
1840,32.73367556,-97.10582788,2
1860,32.73367701,-97.10578442,2
1870,32.73367916,-97.10569931,2
1880,32.73368192,-97.10565763,2
1900,32.73367919,-97.10558178,2
1910,32.73367237,-97.10554808,2
1930,32.73365456,-97.10552518,2
1940,32.73360885,-97.10551982,2
1950,32.73358499,-97.1055297,1
1960,32.73356029,-97.10553582,1
1970,32.73353332,-97.10554002,1
1980,32.73350666,-97.10554624,1
2000,32.73347892,-97.10555089,1
2010,32.73345188,-97.10555556,1
2020,32.73341366,-97.10557246,1
2040,32.73338721,-97.10556255,1
2060,32.73339571,-97.10554508,1
2070,32.73342649,-97.10552307,1
2090,32.73345012,-97.10551991,1
2100,32.73347653,-97.10551593,2
2110,32.73350633,-97.10551188,2
2120,32.73353745,-97.10550921,2
2130,32.73356734,-97.10550825,2
2140,32.73359565,-97.10550707,2
2150,32.73361381,-97.1055035,2
2160,32.73362182,-97.10548744,2
2170,32.73362341,-97.10548134,2
2190,32.73362138,-97.10548174,2
2200,32.73362163,-97.10548385,2
2220,32.73362821,-97.10548217,2
2240,32.73363658,-97.10548214,2
2250,32.73364053,-97.10547832,3
2270,32.73363965,-97.10547182,3
2280,32.7336417,-97.10546825,3
2290,32.73364878,-97.1054696,3
2300,32.73365645,-97.1054924,3
2310,32.7336795,-97.1055666,3
2320,32.73368614,-97.1056068,3
2330,32.73369418,-97.10564246,3
2350,32.73370006,-97.10567746,3
2360,32.73371471,-97.10574135,3
2370,32.73372044,-97.10576881,3
2380,32.73372486,-97.10579228,3
2400,32.7337383,-97.10582996,1
2410,32.73374036,-97.10583638,1
2420,32.73374051,-97.10583683,1
2430,32.73374412,-97.10583599,1
2440,32.73374179,-97.10583551,1
2460,32.73373447,-97.10583605,1
2470,32.73373097,-97.10583638,1
2480,32.73373118,-97.10583564,1
2500,32.73373553,-97.10583456,1
2520,32.7337392,-97.10585145,1
2530,32.73374391,-97.10587009,1
2540,32.73374913,-97.1058986,1
2560,32.73375872,-97.10598093,2
2570,32.73375847,-97.10602324,2
2580,32.73375882,-97.10606622,2
2590,32.73376062,-97.1061091,2
2610,32.73376424,-97.10619043,2
2620,32.73376796,-97.10622863,2
2640,32.73376968,-97.1062647,2
2650,32.73377461,-97.10632608,2
2660,32.73377801,-97.10635373,2
2670,32.73378604,-97.10637331,2
2680,32.73379129,-97.10638604,2
2690,32.73379194,-97.10639052,2
2710,32.73379342,-97.10638751,2
2720,32.73379671,-97.10638387,2
